date,day_of_week,hour,department,is_holiday,patient_count
2026-04-04,5,9,Orthopedics,0,69
2025-08-09,5,9,Orthopedics,0,71
2026-03-27,4,10,Pediatrics,0,118
2026-01-24,5,12,General Medicine,0,29
2025-08-13,2,9,Dermatology,0,83
2025-06-27,4,16,Dermatology,0,39
2025-10-27,0,16,Neurology,0,48
2025-07-30,2,12,Cardiology,0,34
2025-07-02,2,9,Pediatrics,0,93
2025-05-25,6,17,General Medicine,1,10
2025-04-14,0,15,Orthopedics,0,72
2025-08-13,2,8,Pediatrics,0,54
2025-07-15,1,11,General Medicine,0,93
2026-03-13,4,11,Dermatology,0,95
2025-08-23,5,15,General Medicine,0,59
2025-07-15,1,8,General Medicine,0,76
2026-02-28,5,8,General Medicine,0,71
2025-04-30,2,9,Pediatrics,0,92
2026-04-08,2,15,Cardiology,0,20
2026-02-06,4,14,Orthopedics,0,42
2026-03-22,6,15,Dermatology,1,16
2025-09-09,1,13,Neurology,0,69
2025-07-20,6,8,Neurology,1,8
2026-01-13,1,10,Dermatology,0,106
2026-01-16,4,10,Orthopedics,0,78
2025-11-29,5,16,Cardiology,0,15
2025-12-14,6,9,Orthopedics,1,15
2025-07-10,3,15,Dermatology,0,27
2026-04-07,1,13,Pediatrics,0,70
2025-10-02,3,15,General Medicine,0,62
2026-02-13,4,11,General Medicine,0,88
2025-08-25,0,16,Pediatrics,0,84
2025-10-05,6,11,Neurology,1,12
2025-10-05,6,16,Pediatrics,1,15
2025-08-02,5,9,Neurology,0,68
2026-03-19,3,15,Pediatrics,0,57
2025-05-09,4,10,Pediatrics,0,96
2025-10-06,0,15,Pediatrics,0,83
2026-03-15,6,14,Dermatology,1,15
2025-07-17,3,13,Cardiology,0,44
2025-06-20,4,14,Neurology,0,29
2025-09-05,4,11,Dermatology,0,47
2025-05-03,5,12,Dermatology,0,13
2026-03-08,6,15,Cardiology,1,5
2025-05-07,2,16,Cardiology,0,36
2025-05-12,0,12,Cardiology,0,59
2025-06-13,4,8,General Medicine,0,65
2025-07-14,0,10,General Medicine,0,115
2025-04-23,2,14,Neurology,0,40
2025-09-25,3,16,Cardiology,0,18
2025-10-29,2,14,Cardiology,0,26
2025-06-01,6,12,Cardiology,1,7
2026-02-10,1,11,Dermatology,0,93
2025-11-26,2,13,Neurology,0,15
2025-10-08,2,9,Cardiology,0,81
2025-07-19,5,16,Orthopedics,0,50
2025-07-17,3,14,Cardiology,0,18
2026-01-10,5,17,Orthopedics,0,50
2025-08-29,4,14,General Medicine,0,38
2025-05-09,4,8,Neurology,0,22
2025-12-26,4,13,General Medicine,0,41
2025-11-01,5,15,Neurology,0,40
2025-10-13,0,11,Orthopedics,0,105
2025-12-21,6,13,Orthopedics,1,10
2025-07-03,3,8,General Medicine,0,56
2025-12-13,5,12,General Medicine,0,74
2025-09-28,6,10,Pediatrics,1,5
2026-02-25,2,16,Dermatology,0,46
2025-10-29,2,14,Cardiology,0,35
2025-10-13,0,9,General Medicine,0,134
2026-02-22,6,14,General Medicine,1,19
2025-10-16,3,13,Neurology,0,36
2026-02-22,6,12,Pediatrics,1,7
2025-06-13,4,12,Neurology,0,47
2026-02-04,2,12,Orthopedics,0,11
2025-09-22,0,10,General Medicine,0,128
2025-08-07,3,9,General Medicine,0,101
2025-07-04,4,13,Neurology,0,45
2026-02-05,3,10,General Medicine,0,83
2025-08-24,6,9,Pediatrics,1,13
2025-09-21,6,16,Neurology,1,18
2025-10-21,1,10,Neurology,0,82
2026-04-08,2,14,General Medicine,0,45
2025-07-04,4,16,General Medicine,0,49
2025-09-05,4,9,Neurology,0,59
2025-11-14,4,10,Orthopedics,0,61
2025-11-08,5,14,Dermatology,0,27
2026-04-03,4,17,Pediatrics,0,44
2026-01-25,6,12,Orthopedics,1,7
2026-02-06,4,8,Cardiology,0,31
2026-03-11,2,10,Neurology,0,61
2025-12-17,2,13,Pediatrics,0,63
2026-01-22,3,17,Neurology,0,40
2025-06-23,0,14,Orthopedics,0,53
2025-09-28,6,13,General Medicine,1,7
2025-10-21,1,17,Cardiology,0,65
2025-09-14,6,8,Orthopedics,1,14
2025-10-04,5,16,General Medicine,0,54
2025-06-08,6,8,Dermatology,1,7
2025-09-21,6,9,Neurology,1,14
2026-02-16,0,9,Pediatrics,0,135
2025-09-21,6,11,Cardiology,1,9
2025-08-09,5,16,Dermatology,0,41
2026-03-14,5,9,Cardiology,0,55
2025-08-03,6,16,General Medicine,1,20
2025-06-27,4,16,Cardiology,0,29
2025-10-18,5,8,Dermatology,0,38
2025-12-07,6,15,Orthopedics,1,5
2025-04-26,5,8,General Medicine,0,31
2025-08-25,0,15,Orthopedics,0,51
2025-06-16,0,17,Pediatrics,0,94
2025-08-29,4,10,Dermatology,0,59
2026-02-09,0,17,Pediatrics,0,81
2025-04-22,1,14,Neurology,0,53
2025-10-31,4,10,Orthopedics,0,72
2025-11-27,3,16,General Medicine,0,27
2025-12-31,2,8,General Medicine,0,42
2025-06-23,0,17,General Medicine,0,105
2026-02-22,6,10,Dermatology,1,11
2025-07-06,6,10,General Medicine,1,7
2026-03-05,3,10,Dermatology,0,79
2025-12-24,2,12,Orthopedics,0,26
2026-03-04,2,11,Neurology,0,49
2025-09-02,1,10,Neurology,0,100
2026-01-20,1,15,Dermatology,0,52
2026-01-29,3,8,Cardiology,0,32
2026-02-21,5,11,Pediatrics,0,107
2026-02-11,2,13,General Medicine,0,40
2025-06-08,6,15,Cardiology,1,16
2026-02-10,1,12,Dermatology,0,70
2025-07-21,0,10,Neurology,0,101
2025-09-19,4,12,Neurology,0,12
2026-03-29,6,17,Neurology,1,13
2025-10-30,3,10,Pediatrics,0,90
2025-07-09,2,8,Dermatology,0,18
2025-10-27,0,16,Cardiology,0,60
2025-07-04,4,15,General Medicine,0,59
2026-03-12,3,15,Pediatrics,0,43
2025-06-23,0,11,Pediatrics,0,124
2025-11-09,6,14,Pediatrics,1,16
2025-09-17,2,16,Pediatrics,0,61
2025-09-19,4,14,Neurology,0,31
2025-06-25,2,11,Dermatology,0,45
2025-09-04,3,13,General Medicine,0,63
2025-09-06,5,17,Neurology,0,12
2026-01-03,5,14,Cardiology,0,24
2025-04-14,0,9,Neurology,0,100
2025-11-25,1,13,Neurology,0,60
2025-12-27,5,13,Orthopedics,0,15
2025-10-25,5,10,Dermatology,0,71
2025-09-18,3,14,Pediatrics,0,26
2026-03-11,2,13,Pediatrics,0,62
2025-12-29,0,15,Neurology,0,84
2026-03-09,0,13,Neurology,0,44
2026-01-21,2,16,Neurology,0,29
2026-01-11,6,9,Pediatrics,1,20
2026-01-11,6,9,General Medicine,1,14
2025-05-22,3,14,General Medicine,0,65
2025-09-20,5,12,Pediatrics,0,51
2025-10-25,5,10,Dermatology,0,50
2025-12-21,6,14,Dermatology,1,17
2025-08-08,4,16,Cardiology,0,48
2025-10-07,1,12,Orthopedics,0,58
2025-12-21,6,10,Cardiology,1,13
2026-04-07,1,14,Orthopedics,0,57
2025-04-14,0,11,Neurology,0,81
2025-12-07,6,17,Pediatrics,1,6
2026-03-31,1,9,Orthopedics,0,109
2025-05-05,0,8,Pediatrics,0,105
2025-09-16,1,12,Cardiology,0,40
2025-07-06,6,15,Pediatrics,1,11
2026-04-05,6,14,Cardiology,1,8
2025-07-17,3,15,Cardiology,0,44
2025-12-01,0,16,General Medicine,0,75
2025-11-20,3,14,Cardiology,0,48
2025-05-31,5,16,General Medicine,0,58
2025-11-06,3,14,Cardiology,0,37
2025-12-10,2,16,General Medicine,0,38
2026-03-28,5,16,General Medicine,0,69
2025-08-06,2,16,Pediatrics,0,53
2025-06-29,6,16,Pediatrics,1,15
2025-05-18,6,11,Orthopedics,1,14
2025-07-23,2,15,Orthopedics,0,29
2025-10-06,0,9,General Medicine,0,111
2025-07-15,1,12,General Medicine,0,67
2025-04-25,4,12,General Medicine,0,64
2025-07-21,0,14,Cardiology,0,58
2025-10-31,4,12,Cardiology,0,50
2026-01-23,4,16,Pediatrics,0,54
2026-02-11,2,17,General Medicine,0,34
2025-11-28,4,12,Neurology,0,50
2025-12-04,3,17,Dermatology,0,16
2025-10-09,3,11,Cardiology,0,53
2025-06-28,5,16,Orthopedics,0,13
2025-10-01,2,13,Orthopedics,0,24
2025-06-09,0,8,Neurology,0,46
2025-08-13,2,9,General Medicine,0,76
2025-04-22,1,12,Pediatrics,0,79
2026-02-21,5,13,Pediatrics,0,44
2026-01-28,2,11,Dermatology,0,51
2025-11-30,6,14,Pediatrics,1,14
2026-02-13,4,9,Neurology,0,63
2026-01-03,5,12,Pediatrics,0,49
2025-09-05,4,10,General Medicine,0,74
2025-06-02,0,9,Cardiology,0,91
2025-04-21,0,10,Dermatology,0,94
2026-01-17,5,16,Pediatrics,0,65
2025-07-03,3,17,Pediatrics,0,54
2025-12-02,1,12,General Medicine,0,96
2025-07-25,4,8,Dermatology,0,45
2025-05-25,6,13,General Medicine,1,18
2025-05-06,1,13,General Medicine,0,99
2026-03-08,6,10,Cardiology,1,9
2025-08-22,4,14,Neurology,0,26
2026-02-28,5,8,General Medicine,0,65
2025-10-24,4,11,Orthopedics,0,81
2025-10-16,3,8,Cardiology,0,21
2025-11-26,2,10,Neurology,0,74
2026-01-14,2,10,Cardiology,0,69
2025-10-08,2,15,Pediatrics,0,77
2025-06-13,4,17,Neurology,0,19
2025-05-10,5,10,Pediatrics,0,86
2025-12-09,1,14,General Medicine,0,57
2026-02-26,3,13,General Medicine,0,34
2025-11-30,6,9,Pediatrics,1,11
2026-03-23,0,17,Orthopedics,0,47
2025-12-05,4,8,General Medicine,0,69
2026-02-15,6,10,Pediatrics,1,16
2025-10-13,0,12,Orthopedics,0,65
2025-07-01,1,15,Cardiology,0,56
2025-08-02,5,15,Orthopedics,0,23
2025-09-08,0,15,Orthopedics,0,38
2026-02-10,1,16,Cardiology,0,71
2026-03-02,0,9,Orthopedics,0,94
2025-10-05,6,10,Pediatrics,1,12
2025-12-28,6,14,Pediatrics,1,17
2025-04-16,2,17,Cardiology,0,47
2025-11-18,1,8,Neurology,0,83
2025-10-24,4,9,Neurology,0,77
2025-04-19,5,14,Dermatology,0,30
2026-02-15,6,10,Pediatrics,1,8
2025-12-26,4,16,Orthopedics,0,20
2025-11-26,2,15,Neurology,0,32
2025-09-25,3,10,Neurology,0,53
2026-01-29,3,13,Neurology,0,24
2026-03-30,0,15,Neurology,0,52
2025-07-02,2,17,Cardiology,0,45
2025-10-25,5,16,Dermatology,0,24
2025-10-21,1,14,Cardiology,0,45
2025-10-22,2,13,General Medicine,0,41
2025-06-11,2,8,Dermatology,0,19
2026-02-09,0,15,Cardiology,0,60
2025-04-16,2,9,Neurology,0,73
2025-11-11,1,16,Neurology,0,66
2026-03-14,5,8,Cardiology,0,29
2025-07-22,1,8,General Medicine,0,91
2026-03-25,2,9,Orthopedics,0,79
2025-12-26,4,16,Neurology,0,37
2025-12-30,1,14,Dermatology,0,67
2026-01-31,5,11,Neurology,0,82
2025-07-07,0,13,General Medicine,0,71
2026-03-09,0,13,Orthopedics,0,73
2025-05-30,4,14,General Medicine,0,58
2026-01-02,4,15,Orthopedics,0,23
2026-01-29,3,12,Cardiology,0,34
2025-08-03,6,15,Cardiology,1,13
2025-12-28,6,9,Dermatology,1,13
2025-07-08,1,16,General Medicine,0,73
2025-10-02,3,8,Orthopedics,0,24
2026-01-12,0,14,Dermatology,0,66
2025-12-30,1,15,Neurology,0,80
2025-11-06,3,14,Cardiology,0,44
2025-06-12,3,16,Cardiology,0,31
2025-04-19,5,9,Pediatrics,0,117
2025-11-09,6,12,Neurology,1,13
2026-01-05,0,16,Neurology,0,64
2026-03-27,4,17,Pediatrics,0,59
2025-05-22,3,14,Pediatrics,0,38
2025-11-24,0,14,Neurology,0,32
2025-11-20,3,15,Neurology,0,21
2025-07-03,3,8,Cardiology,0,19
2025-09-04,3,17,Dermatology,0,14
2025-04-17,3,10,Dermatology,0,96
2025-06-15,6,17,Cardiology,1,7
2025-07-31,3,8,Dermatology,0,40
2025-05-16,4,14,Cardiology,0,15
2026-01-04,6,9,Pediatrics,1,20
2025-05-23,4,12,Orthopedics,0,12
2025-07-02,2,9,General Medicine,0,75
2025-11-13,3,9,Dermatology,0,80
2025-10-15,2,15,Neurology,0,17
2025-11-12,2,13,General Medicine,0,61
2026-02-14,5,15,Pediatrics,0,30
2025-09-17,2,8,Orthopedics,0,15
2026-01-18,6,11,Cardiology,1,18
2025-09-01,0,12,Orthopedics,0,65
2025-04-10,3,14,Dermatology,0,10
2026-01-22,3,11,Cardiology,0,80
2025-08-12,1,17,Pediatrics,0,95
2026-01-21,2,17,Dermatology,0,20
2025-10-04,5,12,Orthopedics,0,27
2026-01-03,5,14,Cardiology,0,38
2025-09-15,0,14,Orthopedics,0,36
2025-11-27,3,12,Cardiology,0,32
2025-05-07,2,16,Cardiology,0,42
2026-02-19,3,12,Dermatology,0,24
2025-11-26,2,13,General Medicine,0,38
2025-08-09,5,12,Dermatology,0,30
2025-09-17,2,12,Orthopedics,0,44
2025-08-25,0,11,Dermatology,0,91
2025-12-09,1,8,Pediatrics,0,75
2025-04-18,4,9,Orthopedics,0,52
2026-02-14,5,16,Cardiology,0,26
2026-01-02,4,12,Neurology,0,45
2025-10-23,3,9,Neurology,0,54
2025-12-14,6,14,Pediatrics,1,5
2025-07-27,6,17,Orthopedics,1,6
2026-02-22,6,14,Dermatology,1,13
2026-03-21,5,12,General Medicine,0,38
2025-09-02,1,12,Cardiology,0,49
2025-08-28,3,16,Neurology,0,15
2025-04-20,6,15,Cardiology,1,12
2026-04-08,2,10,Cardiology,0,58
2026-01-21,2,10,Orthopedics,0,91
2025-11-01,5,11,Dermatology,0,93
2025-07-25,4,17,Orthopedics,0,31
2026-03-23,0,9,Dermatology,0,79
2026-01-04,6,11,Cardiology,1,6
2025-08-25,0,8,Dermatology,0,49
2025-10-26,6,15,Orthopedics,1,20
2025-12-17,2,15,Orthopedics,0,50
2025-05-03,5,8,Orthopedics,0,41
2025-04-24,3,15,Dermatology,0,20
2025-10-02,3,14,Cardiology,0,20
2025-07-03,3,9,Pediatrics,0,108
2026-03-07,5,16,Orthopedics,0,35
2026-02-02,0,15,Orthopedics,0,66
2025-05-28,2,9,Dermatology,0,51
2026-02-25,2,13,General Medicine,0,30
2025-11-26,2,14,Dermatology,0,28
2025-10-04,5,11,Dermatology,0,42
2026-01-25,6,12,Orthopedics,1,16
2026-03-21,5,8,Orthopedics,0,18
2025-12-02,1,14,Neurology,0,44
2025-10-29,2,8,Orthopedics,0,25
2025-04-21,0,15,Orthopedics,0,48
2026-01-24,5,15,Neurology,0,43
2026-03-21,5,17,Orthopedics,0,27
2026-01-11,6,11,Cardiology,1,10
2025-12-20,5,17,Dermatology,0,49
2025-09-10,2,9,General Medicine,0,55
2025-08-27,2,13,General Medicine,0,61
2025-05-24,5,11,Orthopedics,0,88
2025-06-30,0,13,Pediatrics,0,89
2025-11-04,1,11,Cardiology,0,99
2025-05-09,4,11,Pediatrics,0,99
2025-07-12,5,11,Cardiology,0,60
2025-11-29,5,9,Pediatrics,0,86
2025-05-23,4,17,Neurology,0,40
2025-12-24,2,16,Pediatrics,0,44
2025-12-05,4,17,Pediatrics,0,43
2025-05-09,4,15,Dermatology,0,29
2025-05-11,6,17,General Medicine,1,20
2025-08-05,1,16,Orthopedics,0,51
2026-04-03,4,13,Neurology,0,19
2025-08-09,5,16,Cardiology,0,35
2025-06-01,6,10,Pediatrics,1,13
2025-07-31,3,8,Dermatology,0,19
2025-07-21,0,11,Cardiology,0,76
2025-10-26,6,11,Pediatrics,1,15
2025-10-04,5,14,Cardiology,0,14
2026-02-13,4,12,Pediatrics,0,58
2025-09-03,2,15,Pediatrics,0,73
2026-04-07,1,16,Pediatrics,0,81
2025-06-27,4,16,Pediatrics,0,71
2025-04-24,3,13,Neurology,0,19
2025-09-15,0,9,Cardiology,0,82
2025-05-27,1,11,General Medicine,0,101
2025-05-30,4,11,General Medicine,0,80
2025-06-30,0,10,Pediatrics,0,119
2025-07-29,1,16,Neurology,0,69
2026-01-11,6,9,Cardiology,1,7
2026-02-11,2,14,Cardiology,0,15
2025-06-27,4,15,General Medicine,0,31
2025-12-13,5,8,Pediatrics,0,74
2026-04-07,1,11,Orthopedics,0,109
2025-06-17,1,12,General Medicine,0,81
2025-08-23,5,11,Dermatology,0,82
2026-03-23,0,12,Pediatrics,0,92
2025-10-10,4,8,Orthopedics,0,46
2026-01-24,5,12,Pediatrics,0,42
2025-05-16,4,12,General Medicine,0,62
2025-07-28,0,15,General Medicine,0,76
2026-03-19,3,11,General Medicine,0,62
2025-09-16,1,12,Cardiology,0,50
2025-05-07,2,14,General Medicine,0,53
2026-01-12,0,9,Dermatology,0,111
2025-10-06,0,17,Neurology,0,70
2025-06-18,2,17,Dermatology,0,33
2025-10-19,6,13,Orthopedics,1,17
2025-08-13,2,9,Dermatology,0,79
2026-02-12,3,8,Pediatrics,0,59
2026-01-15,3,17,Pediatrics,0,59
2025-10-05,6,8,Dermatology,1,18
2025-08-10,6,9,Dermatology,1,15
2025-11-20,3,9,General Medicine,0,76
2025-11-03,0,16,Orthopedics,0,51
2025-12-07,6,17,Neurology,1,10
2025-09-24,2,17,Neurology,0,28
2026-02-21,5,10,Pediatrics,0,92
2025-07-25,4,12,Cardiology,0,50
2025-09-20,5,16,Orthopedics,0,39
2026-01-12,0,8,General Medicine,0,84
2025-05-04,6,15,General Medicine,1,16
2025-04-25,4,8,Pediatrics,0,38
2025-05-28,2,8,Cardiology,0,32
2025-04-21,0,12,Pediatrics,0,104
2025-06-13,4,10,Dermatology,0,87
2026-02-24,1,9,Orthopedics,0,95
2025-12-12,4,14,Neurology,0,22
2026-04-01,2,16,Neurology,0,39
2025-12-01,0,9,Dermatology,0,87
2025-08-30,5,10,Pediatrics,0,82
2025-04-23,2,14,Orthopedics,0,41
2026-01-31,5,15,Orthopedics,0,15
2025-08-21,3,14,Pediatrics,0,45
2025-09-12,4,11,General Medicine,0,91
2026-03-04,2,11,Cardiology,0,72
2025-12-10,2,11,Pediatrics,0,102
2025-09-20,5,17,Orthopedics,0,48
2025-09-15,0,10,Dermatology,0,86
2025-10-11,5,9,General Medicine,0,72
2025-07-01,1,9,Neurology,0,96
2026-03-07,5,13,General Medicine,0,65
2025-05-05,0,8,Cardiology,0,50
2026-02-27,4,16,Cardiology,0,31
2026-04-09,3,8,Pediatrics,0,51
2026-04-06,0,13,Orthopedics,0,54
2025-11-30,6,9,Cardiology,1,17
2025-09-29,0,17,Pediatrics,0,66
2025-12-31,2,15,Neurology,0,14
2025-07-16,2,14,Orthopedics,0,48
2025-11-21,4,11,Cardiology,0,75
2025-05-26,0,12,Pediatrics,0,69
2025-08-29,4,16,Cardiology,0,20
2025-11-09,6,12,Orthopedics,1,16
2025-10-06,0,13,General Medicine,0,81
2025-07-04,4,10,Dermatology,0,82
2025-07-16,2,13,Neurology,0,15
2025-11-15,5,12,Orthopedics,0,18
2025-05-13,1,11,Cardiology,0,92
2025-06-25,2,16,Cardiology,0,32
2026-01-21,2,16,Neurology,0,43
2026-02-14,5,8,Neurology,0,46
2025-06-10,1,12,Dermatology,0,59
2025-09-03,2,12,Orthopedics,0,43
